Số tuyến,Lộ trình đi,Lộ trình về,Khoảng cách,Giờ hoạt động,Thời gian chuyến,Giãn cách,Loại xe,Đơn vị vận hành
166,"Đại học Quốc giaBến xe buýt khu A, Đại học Quốc giaThành phố Thủ Đức","Đại học Quốc giaBến xe buýt khu A, Đại học Quốc giaThành phố Thủ Đức",8.20 km,05:00 - 22:00,30 phút,15 - 20 phút,Kim Long B60 EV,
167,"Trường Đại học Nông LâmQuốc lộ 1A, Thành phố Thủ Đức","Trường Đại học Nông LâmQuốc lộ 1A, Thành phố Thủ Đức",13.30 km,05:00 - 22:00,55 phút,10 - 15 phút,Kim Long B60 EV,
168,"Bến xe buýt Ga Bình TháiĐường Song hành Xa lộ Hà Nội, Thành phố Thủ Đức","Bến xe buýt Ga Bình TháiĐường Song hành Xa lộ Hà Nội, Thành phố Thủ Đức",6.30 km,05:00 - 22:00,25 phút,10 - 15 phút,Kim Long B30 EV,
169,7.90 km,05:00 - 22:00,25 phút,10 - 15 phút,Kim Long B30 EV,,Tiền mặtFutaPay,Tuyến vòng kín 2 chiều
D4,"VinHomes Grand ParkKDC VinHomes Grand Park, Thành phố Thủ Đức","Bến ThànhBến xe buýt Sài Gòn, Quận 1","28,95 km",05:00 - 22:00,80 phút,15 - 20 phút,Vinfast Greenbus 10,Công Ty Tnhh Dịch Vụ Vận Tải Sinh Thái Vinbus
5,"Chợ LớnBến xe buýt Chợ Lớn A,Quận 5","Biên HòaBến xe Biên HòaBiên Hòa,Đồng Nai",38 km,04:50 - 17:50,100 phút,30 – 50 phút,Samco City I.40,HTX Vận tải Xe buýt Quyết ThắngCông Ty Cổ Phần Tổng Công Ty Vĩnh Phú (Vitrac)
"Trường Đại học Nông LâmQuốc lộ 1A,Thành phố Thủ Đức","Phú TúcBến xe Phú TúcĐịnh Quán,Đồng Nai",71 km,05:00 - 18:30,124 phút,10 – 30 phút,Bahai HC B40 (2014)Samco City BG4iSamco City BG7iSamco City BG4wSamco City BG7wSamco City I.47,Hợp tác xã vận tải xe buýt & du lịch Quyết TiếnHợp tác xã vận tải du lịch số 22Hợp tác xã dịch vụ vận tải Thống Nhất,[122]
"Bến xe Miền ĐôngĐinh Bộ Lĩnh,Quận Bình Thạnh","Khu công nghiệp Nhơn TrạchNhơn Trạch,Đồng Nai",56 km,04:45 - 18:00,110 phút,25 – 30 phút,GAZelle Next B24,,[123]
"Bến xe An SươngQuốc lộ 22,Hóc Môn","Biên HòaBến xe Biên HòaBiên Hòa,Đồng Nai","37,4 km",05:00 - 18:00,80 phút,15 – 20 phút,GAZelle Next B24,,[124]
"Bến xe An SươngQuốc lộ 22,Hóc Môn","Thủ Dầu MộtBến xe Thủ Dầu MộtThủ Dầu Một,Bình Dương",34 km,06:00 - 16:30,75 phút,90 phút,Samco City BG7,Hợp tác xã vận tải du lịch số 22,Không trợ giá
"Bình MỹHuyện Củ Chi,Thành phố Hồ Chí Minh","Bến xe Bình DươngThủ Dầu Một,Bình Dương","6,6 km",04:45 - 19:30,15 phút,10 – 15 phút,Samco City I.40Samco City I.47,Hợp tác xã vận tải 19/5,[127]
"Bến xe Miền ĐôngĐinh Bộ Lĩnh,Quận Bình Thạnh","Thủ Dầu MộtBến xe khách Bình DươngThủ Dầu Một,Bình Dương",22 km,05:30 - 19:30,55 - 60 phút,10 – 60 phút,Tracomeco Citybus B35 CNG,Công ty Cổ phần Phương Trinh,[128]
"Chợ LớnBến xe buýt Chợ Lớn A,Quận 5","Bến xeTân TrụTân Trụ,Long An","47,5 km",05:10 - 18:30,75 phút,24 - 60 phút,Bahai AH B40Daewoo BS090Daewoo GDW6901HGSamco City BG7wBahai HC B40 (2012),Công ty Cổ phần vận tải thành phố (Citranco)Hợp tác xã vận tải liên tỉnh & du lịch Việt Thắng,Không trợ giá
"Chợ LớnBến xe buýt Chợ Lớn B,Quận 5","Ngã 3Tân LânBến xe Tân LânCần Đước,Long An",34 km,03:50 - 18:55,80 phút,15 - 30 phút,Bahai B50Bahai HC B40 (2012)Bahai HC B40 (2014)Samco City BG7Samco City BG7wSamco City I.47,Hợp tác xã Vận tải Thanh BìnhHợp tác xã vận tải liên tỉnh & du lịch Việt Thắng,[130]
"Bến xe An SươngQuốc lộ 22,Hóc Môn","Bến xeHậu NghĩaĐức Hòa,Long An","31,8 km",04:00 - 19:30,70 phút,12 - 25 phút,Samco City I.47,Hợp tác xã vận tải 19/5,[131]
"Chợ LớnBến xe buýt Chợ Lớn A,Quận 5","Bến xeĐức HuệĐức Huệ,Long An",52 km,04:50 - 17:00,115 phút,20 - 60 phút,Bahai B50Bahai AH B70Hoang Tra B40Nadibus B42Tanda B50Transinco B45Transinco B50Transinco B2ESamco City BG7Samco City I.47,Hợp tác xã Vận tải Thủy bộ Đông ThànhHợp tác xã Vận tải Đức HòaHợp tác xã vận tải liên tỉnh & du lịch Việt Thắng,[133]
"Bến xe buýtQuận 8Quốc lộ 50,Quận 8","Bến xeTân TậpCần Giuộc,Long An","36,4 km",05:15 - 16:30,90 phút,150 - 195 phút,Bahai B50Transinco B50Golden Dragon XML6845J13C,Hợp tác xã GTVT Đồng Tâm,[136]
"Bến xe buýtQuận 8Quốc lộ 50,Quận 8","Thành phố Gò CôngBến xe Gò CôngGò Công,Tiền Giang",38.2 km,03:15 - 19:00,100 phút,15 - 30 phút,Bahai AH B60Bahai CA B70Daewoo BC095Daewoo BS090Daewoo BS106Daewoo BC212MADaewoo BC312MBDeawoo GDW6900HGDaewoo GDW6901HGGolden Dragon XML6925J15CMitabus 50-06AThaco HB115Thaco TB94CTTransinco B55Transinco B2ETransinco B80Samco City BG4w,Hợp tác xã Du lịch & Vận tải số 4Hợp tác xã Vận tải Đồng HiệpHợp tác xã GTVT Gò Công TâyHợp tác xã Xe khách liên tỉnh Miền TâyHợp tác xã Vận tải Thủy bộ Toàn ThắngHợp tác xã vận tải liên tỉnh & du lịch Việt Thắng,Không trợ giá
"Bến xe buýtTân PhúTrường Chinh,Quận Tân Phú","Bến xe Tiền GiangMỹ Tho,Tiền Giang",85 km,04:45 - 18:15,180 phút,20 - 30 phút,GAZelle City B26,,[138]
"Bến xeCủ ChiQuốc lộ 22,Huyện Củ Chi","Bến xe Tây NinhThành phố Tây Ninh,Tây Ninh",66 km,04:00 - 19:00,107 - 115 phút,30 - 40 phút,Bahai AH B40Bahai HC B40 (2012)Daewoo GDW6901HGThaco KB90LFThaco TB94CTTransinco B40KL,Hợp tác xã Du lịch Vận tải Đồng TiếnHợp tác xã vận tải xe buýt & du lịch Quyết Tiến,Không trợ giá
"Sân bay Tân Sơn NhấtTrường Sơn,Quận Tân Bình","Bến xeVũng TàuVũng Tàu,Bà Rịa - Vũng Tàu","104,95 km",180 phút,04:30 - 22:30,10 - 120 phút,Haeco K29SGAZelle Next B20,Công ty Cổ phần đầu tư AVICông ty TNHH Toàn Thắng,Không trợ giá
