Số tuyến,Lộ trình đi,Lộ trình về,Khoảng cách,Giờ hoạt động,Thời gian chuyến,Giãn cách,Loại xe,Đơn vị vận hành
72,"Bến ThànhBến xe buýt Sài Gòn,Quận 1","Hiệp PhướcBãi xe buýt Cầu Kênh LộNguyễn Văn Tạo, Huyện Nhà Bè","21,8 km",04:40 - 19:15,55 phút,7 – 11 phút,Samco City I.47Samco City I.51,
73,"Chợ Bình ChánhQuốc lộ 1A, Huyện Bình Chánh","Khu công nghiệp Lê Minh XuânTrần Đại Nghĩa, Huyện Bình Chánh","22,35 km",04:30 - 19:00,60 phút,12 – 15 phút,Golden Dragon B55,
74,"Bến xe An SươngQuốc lộ 22, Huyện Hóc Môn","Bến xeCủ ChiQuốc lộ 22, Huyện Củ Chi","21,85 km",03:30 - 21:00,45 phút,6 – 15 phút,Samco City I.51 CNG,
75,Bến xe buýt Sài GònQuận 1,"Cần GiờBến xe buýt Cần GiờĐào Cử, Huyện Cần Giờ","64,2 km",04:00 - 16:30,140 phút,240 – 450 phút,Bahai HC B40 (2014/2016),HTX Vận tải số 26
76,"Long PhướcĐầu bến Hẻm 813 Long Phước, Thành phố Thủ Đức","Bến xe Miền Đông mớiQuốc lộ 1A, Thành phố Thủ Đức","23,8 km",04:50 - 19:00,58 phút,12 – 16 phút,Samco City I.40,HTX Vận tải số 15
77,"Đồng HòaĐầu bến Đồng HòaDuyên Hải, Huyện Cần Giờ","Cần ThạnhBến xe buýt Cần GiờĐào Cử, Huyện Cần Giờ","16,3 km",05:30 - 19:45,35 phút,10 – 35 phút,Bahai HC B40 (2014/2016),HTX Vận tải số 26
78,"Thới AnBến xe buýt Thới AnLê Văn Khương, Quận 12","Cầu LớnBến xe buýt Cầu LớnNguyễn Văn Bứa, Huyện Hóc Môn","18,5 km",05:00 - 20:00,60 phút,15 – 20 phút,Golden Dragon B55,
79,"Bến xeCủ ChiQuốc lộ 22, Huyện Củ Chi","Đền Bến DượcĐầu bến Bến DượcTỉnh lộ 15, Huyện Củ Chi",25 km,45 phút,15 – 30 phút,,Tiền mặtFutaPay,
81,"Bến xe buýtChợ LớnBến xe buýt Chợ Lớn A, Quận 5","Lê Minh XuânĐối diện Văn phòng HTX Quyết ThắngVườn Thơm, Huyện Bình Chánh","22,4 km",04:15 - 19:50,65 phút,5 – 10 phút,Samco City I.47,
84,"Bến xe buýtChợ LớnBến xe buýt Chợ Lớn B, Quận 5","Tân TúcNguyễn Hữu Trí, Huyện Bình Chánh","17,3 km",04:40 - 19:30,47 phút,12 – 20 phút,Golden Dragon B55,
85,"Bến xe An SươngQuốc lộ 22, Huyện Hóc Môn","Khu công nghiệp Nhị XuânNguyễn Văn Bứa, Huyện Hóc Môn","14,9 km",04:35 - 19:30,35 phút,12 – 25 phút,Samco City I.47,HTX Vận tải 19/5
87,"Bến xe Củ ChiQuốc lộ 22, Huyện Củ Chi","An Nhơn TâyBến xe buýt An Nhơn TâyTỉnh lộ 15, Huyện Củ Chi","20,8 km",05:00 - 18:30,40 phút,10 – 20 phút,Samco City I.40,HTX Vận tải 19/5
88,"Bến ThànhBến xe buýt Sài Gòn,Quận 1","Chợ Long PhướcĐầu bến Chợ Long PhướcLong Phước, Thành phố Thủ Đức","23,6 km",04:45 - 19:00,65 phút,7 – 15 phút,Bahai HC B40 (2010),
89,"Trường Đại học Nông LâmQuốc lộ 1A, Thành phố Thủ Đức","Bến tàu Hiệp Bình ChánhBến Tàu thủy Hiệp Bình ChánhĐường số 10, Thành phố Thủ Đức","17,1 km",05:00 - 19:00,55 phút,12 – 15 phút,Samco City I.47,HTX Vận tải số 15
90,"Phà Bình KhánhĐầu bến phà Bình KhánhRừng Sác, Huyện Cần Giờ","Cần ThạnhBến xe buýt Cần GiờĐào Cử, Huyện Cần Giờ","45,6 km",04:30 - 20:00,75 phút,8 – 30 phút,Bahai HC B40 (2014/2016),HTX Vận tải số 26
91,"Bến xe Miền TâyKinh Dương Vương, Quận Bình Tân","Chợ nông sản Thủ ĐứcĐầu bến Chợ nông sản Thủ ĐứcQuốc lộ 1A, Thành phố Thủ Đức","25,1 km",04:30 - 21:00,80 phút,15 – 30 phút,Samco City I.47,
93,"Bến ThànhBến xe buýt Sài Gòn,Quận 1","Bến xe Miền Đông mớiQuốc lộ 1A, Thành phố Thủ Đức","26,2 km",04:30 - 19:15,70 – 80 phút,12 – 20 phút,Samco City H.68 CNG,
94,"Chợ LớnBến xe buýt Chợ Lớn A, Quận 5","Bến xeCủ ChiQuốc lộ 22, Huyện Củ Chi","36,1 km",04:00 - 19:00,75 phút,12 – 25 phút,Deawoo BS090Golden Dragon B51Golden Dragon B60Transinco B60KLSamco City I.40 CNGSamco City I.47Samco City I.51,HTX Vận tải 19/5
99,"Chợ Thạnh Mỹ LợiKDC Thạnh Mỹ Lợi, Thành phố Thủ Đức","Đại học Quốc giaBến xe buýt Ký túc xá khu B, Đại học Quốc giaThành phố Thủ Đức","26,25 km",05:00 - 19:15,65 phút,8 – 15 phút,Golden Dragon B55,
100,"Bến xe Củ ChiQuốc lộ 22, Huyện Củ Chi","Cầu Tân TháiTỉnh lộ 7, Huyện Củ Chi","16,8 km",05:00 - 19:10,35 phút,10 – 21 phút,Samco City I.40,
101,"Chợ LớnBến xe buýt Chợ Lớn B, Quận 5","Chợ Tân NhựtĐường Thế Lữ, Bình Chánh","19,85 km",05:00 - 18:30,55 phút,12 – 15 phút,Bahai HC B40 (2014),
102,"Bến ThànhBến xe buýt Sài Gòn,Quận 1","Bến xe Miền TâyKinh Dương Vương, Quận Bình Tân","32,72 km",04:45 - 19:00,80 phút,12 – 20 phút,Golden Dragon B55,
103,"Chợ LớnBến xe buýt Chợ Lớn A, Quận 5","Bến xe Ngã tư GaQuốc lộ 1A, Quận 12","24,9 km",05:00 - 19:00,70 – 85 phút,12 – 18 phút,Samco City I.30Samco City I.40Samco City I.47,
104,"Bến xe An SươngQuốc lộ 22, Huyện Hóc Môn","Trường Đại học Nông LâmQuốc lộ 1A, Thành phố Thủ Đức","30,5 km",04:40 - 20:00,75 phút,6 – 12 phút,Hyundai New Super Aero City CNGHyundai New Super Aero City Low Floor CNGSamco City H.68 CNGSamco City H.75 CNGTracomeco B70NGHyundai Super Aero City CNG,
107,"Bến xeCủ ChiQuốc lộ 22, Huyện Củ Chi","Bố HeoĐầu bến Ngã tư Bố HeoHương lộ 2, Huyện Củ Chi","15,6 km",05:00 - 19:00,30 phút,20 – 30 phút,Samco City J.40,HTX Vận tải 19/5
109,"Bến ThànhBến xe buýt Sài Gòn, Quận 1",Sân bay Tân Sơn NhấtBãi xe Nhà ga T3 Sân bay Tân Sơn NhấtQuận Tân Bình,"9,3 km",05:30 - 22:40,45 phút,15 - 25 phút,Kim Long B30 EV,
110,"Hiệp PhướcBãi xe Cầu Kênh LộNguyễn Văn Tạo, Huyện Nhà Bè","Phước LộcBến đò Bảy BéĐào Sư Tích, Huyện Nhà Bè","26,3 km",05:00 - 19:45,65 phút,12 – 15 phút,Samco City I.40,Công ty Cổ phần Vận tải 26
